condition,damage_frac,seed,severed_count,stump_count,total_tail,frr_final,frr_at_10s,frr_at_30s,frr_at_60s,recovery_time_s,bhaya_peak,bhaya_at_recovery,buddhi_at_recovery,recovered,note
SCRIPTED,0.1,42,52,10,62,0.9808,0.0,0.0,0.0,9.98,0.027778,0.002967,0.0937,True,
SCRIPTED,0.1,7,56,8,64,0.9821,0.9821,0.0,0.0,10.0,0.025,0.003012,0.0939,True,
SCRIPTED,0.1,2315,53,11,64,0.9811,0.0,0.0,0.0,9.9,0.028269,0.002994,0.0928,True,
SCRIPTED,0.3,42,37,25,62,1.0,0.973,0.0,0.0,10.57,0.053156,0.04142,0.1006,True,
SCRIPTED,0.3,7,38,26,64,1.0,0.9737,0.0,0.0,10.15,0.050505,0.042042,0.0956,True,
SCRIPTED,0.3,2315,39,25,64,1.0,0.9744,0.0,0.0,10.02,0.057239,0.035821,0.0941,True,
SCRIPTED,0.5,42,25,37,62,1.0,0.96,0.0,0.0,10.48,0.054313,0.038462,0.0996,True,
SCRIPTED,0.5,7,24,40,64,1.0,0.0,0.0,0.0,9.95,0.058252,0.048048,0.0934,True,
SCRIPTED,0.5,2315,26,38,64,1.0,0.0,0.0,0.0,9.78,0.061489,0.047761,0.0915,True,
SCRIPTED,0.7,42,16,46,62,1.0,0.9375,0.0,0.0,10.33,0.052795,0.047337,0.0978,True,
SCRIPTED,0.7,7,13,51,64,1.0,0.0,0.0,0.0,9.5,0.05625,0.051051,0.0884,True,
SCRIPTED,0.7,2315,15,49,64,1.0,0.0,0.0,0.0,9.23,0.059375,0.032836,0.0856,True,
VOLTAGE_DRIVEN,0.1,42,52,10,62,0.9808,0.3846,0.0,0.0,25.75,0.027491,0.008902,0.4584,True,
VOLTAGE_DRIVEN,0.1,7,56,8,64,1.0,0.3929,0.0,0.0,28.68,0.024823,0.015015,0.5559,True,
VOLTAGE_DRIVEN,0.1,2315,53,11,64,0.9811,0.3962,0.0,0.0,26.52,0.027972,0.0,0.4839,True,
VOLTAGE_DRIVEN,0.3,42,37,25,62,1.0,0.4324,0.0,0.0,25.33,0.05298,0.02071,0.4447,True,
VOLTAGE_DRIVEN,0.3,7,38,26,64,1.0,0.4737,0.0,0.0,22.0,0.050336,0.012012,0.3392,True,
VOLTAGE_DRIVEN,0.3,2315,39,25,64,1.0,0.4615,0.0,0.0,22.33,0.056856,0.01194,0.3493,True,
VOLTAGE_DRIVEN,0.5,42,25,37,62,1.0,0.56,0.0,0.0,18.35,0.054313,0.023669,0.2399,True,
VOLTAGE_DRIVEN,0.5,7,24,40,64,1.0,0.625,0.0,0.0,15.75,0.058252,0.03003,0.1824,True,
VOLTAGE_DRIVEN,0.5,2315,26,38,64,1.0,0.6923,0.0,0.0,15.73,0.061489,0.023881,0.1821,True,
VOLTAGE_DRIVEN,0.7,42,16,46,62,1.0,0.8125,0.0,0.0,12.45,0.052795,0.035503,0.1256,True,
VOLTAGE_DRIVEN,0.7,7,13,51,64,1.0,0.0,0.0,0.0,8.97,0.05625,0.051051,0.0828,True,
VOLTAGE_DRIVEN,0.7,2315,15,49,64,1.0,0.8667,0.0,0.0,11.47,0.059375,0.047761,0.1119,True,
FIXED_TOPOLOGY_BASELINE,0.1,42,52,10,62,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.1,7,56,8,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.1,2315,53,11,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.3,42,37,25,62,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.3,7,38,26,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.3,2315,39,25,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.5,42,25,37,62,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.5,7,24,40,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.5,2315,26,38,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.7,42,16,46,62,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.7,7,13,51,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
FIXED_TOPOLOGY_BASELINE,0.7,2315,15,49,64,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,False,Fixed topology — cannot self-repair by definition
